id,transcription,human_label
2018_Hungarian_Grand_Prix_SEBVET01_5_20180729_165350,"MP2 Sebastian, well done, nice race, well managed. Grazie ragazzi, grande lavoro, difficult in the last innings, but we managed to get past. Grazie. Grazie Serpe, very brave move on Bottas, nice job, well done. Nice recovery, I think we couldn't get more than that.",
2023_Spanish_Grand_Prix_ALEALB01_23_20230604_144432,"Alex, do you think tyres are okay to push a little more through 3 and maybe 13?",
2023_Belgian_Grand_Prix_SERPER01_11_20230730_141639,Generally the traction is going off.,
2018_Australian_Grand_Prix_DANRIC01_3_20180325_170323,"Two cars ahead, older tyres. Safety car is entering the pit lane now. Safety car is in this lap.",
2024_Bahrain_Grand_Prix_OSCPIA01_81_20240302_153158,"Clerk is reporting braking issues, he's a car ahead of Lando.",
2020_Turkish_Grand_Prix_LEWHAM01_44_20201115_115746,"Get in there, Lewis! What a way to do it, mate! What a way to win your seventh world title! Mate, you have got to be proud of that! What an awesome drive! Thank you so much, guys! Woo! Woo! That's for all the kids out there! Who dreamed the impossible? You can do it too, man. I believe in you guys. Thank you so much, everyone, for your support. Louis, congratulations for the Sevens title. I couldn't have done it better. Thanks, Logan. Thanks, Logan. Fantastic drive with the slicks. Fantastic. It's really awesome to be a witness of that, Louis.",
2020_Spanish_Grand_Prix_SEBVET01_5_20200816_150325,"We are expecting rain total up 50, expected rain total up 50.",
2018_Australian_Grand_Prix_VALBOT01_77_20180325_172205,We think Verstappen has some damage.,
2024_Chinese_Grand_Prix_LANNOR01_4_20240421_082522,"And Lando, we agree the pace looks good. Last lap, Leclerc did a 41-9.",
2019_German_Grand_Prix_MAXVER01_33_20190728_133430,"Still happy on the full wet. Yeah, no chance on the inter. Understood.",
2023_Miami_Grand_Prix_OSCPIA01_81_20230507_221211,"They're very good. We'll go through the details once you're out of the car, but the problem doesn't just affect the braking, it's cost you a couple of other things as well.",
2024_Canadian_Grand_Prix_LANNOR01_4_20240609_144752,"Is it raining yet? Like, I don't see much myself. Yeah, some spots here now. The first place, really.",
2023_Japanese_Grand_Prix_FERALO01_14_20230924_070847,I will need big tire delta with the lack of speed we have.,
2024_Austrian_Grand_Prix_LEWHAM01_44_20240630_154344,"So that floor damage looks like it picked up at turn 8, so right hand side.",
2018_British_Grand_Prix_MAXVER01_33_20180708_143441,"Is the wind changing between 6 and 7? I had a bit of rear instability. Confirm. Can confirm that. So, yes, confirm tailwind as you come through 6 and into 7.",
2021_Russian_Grand_Prix_VALBOT01_77_20210926_141613,Threat of rain five to ten minutes hitting ten five seven.,
2020_Eifel_Grand_Prix_NICHUL01_27_20201011_144015,"Break earlier, turn 13 for the snap. I don't hear you. You're too quiet. Break earlier, turn 13 for the snap.",
2019_Canadian_Grand_Prix_CARSAI01_55_20190609_191941,"So, Carlos, that stop was necessary for caliper temperature. Stop was necessary for a blocked caliper duct. All okay now, all okay? Copy.",
2023_Miami_Grand_Prix_CARSAI01_55_20230507_211656,"Okay, understood. Got a lot of vibrations.",
2024_Japanese_Grand_Prix_MAXVER01_1_20240407_075413,That was a purple lap for now.,
2023_Mexico_City_Grand_Prix_LANSTR01_18_20231029_212100,"Okay, it's 1.7 to Norris. They've been struggling a bit, B rating engine temps, so focus forward on them.",
2020_Hungarian_Grand_Prix_CHALEC01_16_20200719_141657,"So, traffic with Magnussen, he will be on drives. Okay, clear.",
2020_Belgian_Grand_Prix_ESTOCO01_31_20200830_145337,"Albums can be held up by Gasly on Old Tires, Daniel Lastlap, 49.6.",
2019_Singapore_Grand_Prix_PIEGAS01_10_20190922_143347,"I know, I can't see shit. I like to do it. I can't see anything with the oil. There is so much oil.",
2023_Mexico_City_Grand_Prix_CARSAI01_55_20231029_203338,"I still think one stop is still the best, Franz.",
2023_Mexico_City_Grand_Prix_ESTOCO01_31_20231029_191614,"If you can test your drinks kit as well, please. And any comments on balance?",
2018_Italian_Grand_Prix_SEBVET01_5_20180902_153528,I think I have still some damage. Balance is quite a bit off. Understood. We do see from data.,
2019_Singapore_Grand_Prix_KIMRAI01_7_20190922_133858,"Okay, Kimi, still P11, your safety car window is closed, how are your tires? Yeah, the rear doesn't feel very nice, but also behind the red pole, the rust is overshoot, rear is struggling. Okay, copy.",
2019_Abu_Dhabi_Grand_Prix_KIMRAI01_7_20191201_123511,"Need to check the front when I took up another time so I have to go first. Okay, I'm checking now. Yeah, looks okay. Looks okay, we'll check on the grid.",
2019_Monaco_Grand_Prix_CARSAI01_55_20190526_145107,Starting to rain a bit.,
2019_German_Grand_Prix_CHALEC01_16_20190728_140436,"and check the rear brakes, rear brake temperatures during these laps behind the safety car. I cannot talk to you during these laps, it's like a formation lap, okay? And we cannot change the tires, we cannot beat to change it.",
2023_Monaco_Grand_Prix_FERALO01_14_20230528_160854,"Yep, that's a podium, baby. Well done, guys. Not an easy race. Well executed. Bravo! Well done, mate. Well done. That's P2. We're getting there. Next race, P1. Well done. Yes, yes, yes. I'm very happy, mate. I know it's not a win, but I said it was not easy to drive with the rain. Yeah, exactly. Well done, guys. Bravo!",
2018_Chinese_Grand_Prix_MAXVER01_33_20180415_152909,Are you locked up and then just turn in very sharp?,
2024_Emilia_Romagna_Grand_Prix_MAXVER01_1_20240519_163314,"Yeah, that's the last few left. I had to go flat out. It was just really strange how their pace came to them in the last third of the race. Before that, you had them totally covered on the medium and everything. Yeah, the hard tire just had no grip for me. So, yeah, we'll analyze it. The medium was very strong, yeah. I guess the hard tire, so it just went out of the window for us.",
2023_United_States_Grand_Prix_KEVMAG01_20_20231022_210450,I feel like I'm sliding the rears a lot on entry to 11 and 12. Copy.,
2023_Qatar_Grand_Prix_KEVMAG01_20_20231008_171438,"And can we have multi-A grip 10 please, Kev?",
