target_category,similarity,id,driver_id,grand_prix,transcription,human_label
FRONT_TURNIN_BRAKE,0.508,2021_Styrian_Grand_Prix_MAXVER01_33_20210627_150731,MAXVER01,2021 Styrian Grand Prix,"Okay, Max, so specifically the issue is braking turn 10 whilst on the curb. Just for information. Gap 7.5. Oh, mate, do you see that moment in 7? Seen that. A change in wind.",
FRONT_TURNIN_BRAKE,0.507,2019_Spanish_Grand_Prix_SERPER01_11_20190512_145338,SERPER01,2019 Spanish Grand Prix,"Consider diff and brake balance to help front left slips, help front left slips 5, 10, 14.",
FRONT_TURNIN_BRAKE,0.506,2021_São_Paulo_Grand_Prix_LANSTR01_18_20211114_170941,LANSTR01,2021 São Paulo Grand Prix,"Feels like there's a lot of understeer now. I think there's quite a bit of damage. Yeah, copy, copy. If you've got understeer, go the other way with the diff. Open the diff to reduce the understeer. Down on diff mid as well if you need. Can you confirm if there's a lot of damage? Be more specific. Yes. We have damage to the left hand side forward floor. We're checking on the numbers, but the car is okay to push for now. Yeah, it feels terrible. There's no grip man, I think I'm losing a lot of load",
FRONT_TURNIN_BRAKE,0.503,2021_Styrian_Grand_Prix_MAXVER01_33_20210627_150417,MAXVER01,2021 Styrian Grand Prix,"Hey Max, so specifically the issue is braking turn 10 whilst on the curb. Just for information.",
FRONT_TURNIN_BRAKE,0.502,2019_Bahrain_Grand_Prix_DANRIC01_3_20190331_171947,DANRIC01,2019 Bahrain Grand Prix,"Yeah, still the rears hurt me on traction but struggling a lot with front locking so trying to talk about coming rearwards. Okay, understood.",
TYRE_GRIP_DEGRADATION,0.613,2023_Spanish_Grand_Prix_OSCPIA01_81_20230604_143516,OSCPIA01,2023 Spanish Grand Prix,"And Oscar confirming the tyre degradation is all thermal, not worried about wear, not worried about graining on this tyre, it's all about thermal management.",
TYRE_GRIP_DEGRADATION,0.555,2021_Mexico_City_Grand_Prix_MAXVER01_33_20211107_200820,MAXVER01,2021 Mexico City Grand Prix,"Your tyre surface condition looks very good, Max.",
TYRE_GRIP_DEGRADATION,0.554,2020_Spanish_Grand_Prix_SERPER01_11_20200816_142358,SERPER01,2020 Spanish Grand Prix,"How are the tyres? So, Checo, tyres are looking okay at the moment, but they are at the hottest, so, slip management now is critical.",
TYRE_GRIP_DEGRADATION,0.548,2018_Italian_Grand_Prix_LEWHAM01_44_20180902_154030,LEWHAM01,2018 Italian Grand Prix,"Tires still good. Okay, copy, just keep the information coming.",
TYRE_GRIP_DEGRADATION,0.543,2020_Belgian_Grand_Prix_ESTOCO01_31_20200830_145109,ESTOCO01,2020 Belgian Grand Prix,Tire temps are stabilised and are good.,
TYRE_GRIP_DEGRADATION,0.540,2018_Abu_Dhabi_Grand_Prix_STOVAN01_2_20181125_181031,STOVAN01,2018 Abu Dhabi Grand Prix,These tires are not doing well. Copy.,
TYRE_GRIP_DEGRADATION,0.538,2021_Mexico_City_Grand_Prix_LEWHAM01_44_20211107_192411,LEWHAM01,2021 Mexico City Grand Prix,"Tires dropping off, messes in the...",
TYRE_GRIP_DEGRADATION,0.536,2018_Japanese_Grand_Prix_MAXVER01_33_20181007_151902,MAXVER01,2018 Japanese Grand Prix,Tire temperatures are stable. They've been very stable over the last five laps.,
TYRE_GRIP_DEGRADATION,0.531,2024_São_Paulo_Grand_Prix_LANNOR01_4_20241103_151243,LANNOR01,2024 São Paulo Grand Prix,"If the weather stays as it does, we think it will be these tyres to the end. So it will be about tyre condition and racing cars on track.",
TYRE_GRIP_DEGRADATION,0.529,2023_Belgian_Grand_Prix_ALEALB01_23_20230730_153213,ALEALB01,2023 Belgian Grand Prix,"A lot of people struggle with the tires, but some great overtakes today. There's quite a few of them.",
TYRE_GRIP_DEGRADATION,0.528,2020_Turkish_Grand_Prix_ESTOCO01_31_20201115_105452,ESTOCO01,2020 Turkish Grand Prix,Tire temperatures are all still good.,
TYRE_GRIP_DEGRADATION,0.527,2018_Austrian_Grand_Prix_MAXVER01_33_20180701_162236,MAXVER01,2018 Austrian Grand Prix,"How are their tyres compared to mine? They're okay on tyres at the moment, Max. We are happy with yours.",
TYRE_GRIP_DEGRADATION,0.523,2018_Abu_Dhabi_Grand_Prix_LEWHAM01_44_20181125_180520,LEWHAM01,2018 Abu Dhabi Grand Prix,"My tires definitely don't feel great. Okay, copy.",
TYRE_GRIP_DEGRADATION,0.520,2024_Belgian_Grand_Prix_KEVMAG01_20_20240728_152713,KEVMAG01,2024 Belgian Grand Prix,Tires are much better than expected.,
TYRE_GRIP_DEGRADATION,0.520,2018_Mexican_Grand_Prix_LEWHAM01_44_20181028_132341,LEWHAM01,2018 Mexican Grand Prix,The tyres are quite fragile.,
